,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,Location
0,201570,267399,468969,0.00044955875491723416,0.46028663218021393,0.45983707342529667,0.012966591728406899,0.012966591728406899,0.02951204543019583,0.0008709608254739427,227.60063745619098,2613.6758946949785,0.004172362852841616,0.006647412735037506,0.0106820167042315,"[{'percentile': 90, 'value': 0.02034278940409422}]",102.99852197170257,50397.25,0.201589,1,025,010,average,0.11383327863841743,clay-center
1,201570,267399,468969,0.00044955875491723416,0.5301568984985352,0.5297073397436179,0.01755864018487027,0.01755864018487027,0.045187743961587666,0.0020419322043380025,257.35332284173427,3539.2951020643,0.004308010055683553,0.0069351955084130164,0.011429106071591377,"[{'percentile': 90, 'value': 0.02603758703917265}]",102.99852197170257,50397.25,0.201589,1,025,020,average,0.11383327863841743,clay-center
2,201570,267399,468969,0.00044955875491723416,0.5844496726989746,0.5840001139440574,0.021008580922381937,0.021008580922381937,0.05674211611983057,0.0032196677417563363,270.09018995366387,4234.699656524527,0.004380828980356455,0.007101856311783195,0.011931831762194634,"[{'percentile': 90, 'value': 0.02972671054303646}]",102.99852197170257,50397.25,0.201589,1,025,030,average,0.11383327863841743,clay-center
3,201570,267399,468969,0.00044955875491723416,0.6374928116798401,0.6370432529249228,0.023656440166891793,0.023656440166891793,0.06543128671722667,0.0042812532814719235,276.5897415486907,4768.428644440379,0.004411416756920516,0.00719202971085906,0.012287999503314495,"[{'percentile': 90, 'value': 0.03304034993052483}]",102.99852197170257,50397.25,0.201589,1,025,040,average,0.11383327863841743,clay-center
4,201570,267399,468969,0.00044955875491723416,0.6890214800834655,0.6885719213285483,0.02578482434186429,0.02578482434186429,0.07239279012880029,0.0052407160626325245,280.75735234411974,5197.447042589585,0.004428572859615088,0.007242142455652356,0.012478628009557725,"[{'percentile': 90, 'value': 0.036081386357545854}]",102.99852197170257,50397.25,0.201589,1,025,050,average,0.11383327863841743,clay-center
5,201570,267399,468969,0.00044955875491723416,0.7434158504009247,0.7429662916460075,0.027471713389426847,0.027471713389426847,0.07817999267014547,0.006112111253904,284.5836062785765,5537.473267906769,0.004440698167309165,0.007277372339740395,0.012612499762326479,"[{'percentile': 90, 'value': 0.03810948841273785}]",102.99852197170257,50397.25,0.201589,1,025,060,average,0.11383327863841743,clay-center
6,201570,267399,468969,0.00044955875491723416,0.7996234595775604,0.7991739008226432,0.028783775817521843,0.028783775817521843,0.0829335432159131,0.006877972590345728,288.1260045300524,5801.945691537878,0.004448988661170006,0.007297713286243379,0.012700110394507646,"[{'percentile': 90, 'value': 0.03934728093445301}]",102.99852197170257,50397.25,0.201589,1,025,070,average,0.11383327863841743,clay-center
7,201570,267399,468969,0.00044955875491723416,0.8474943697452545,0.8470448109903372,0.0297646210499785,0.0297646210499785,0.08662035622795891,0.007503086113058499,291.01783651978155,5999.654665044166,0.004454891849309206,0.007311813533306122,0.012754408363252877,"[{'percentile': 90, 'value': 0.04032437987625599}]",102.99852197170257,50397.25,0.201589,1,025,080,average,0.11383327863841743,clay-center
8,201570,267399,468969,0.00044955875491723416,0.8822105586528778,0.8817609998979605,0.03043843371445751,0.03043843371445751,0.08921469079096334,0.007959261052927198,293.0988224554687,6135.4750838232,0.004459110205061734,0.007321819826029242,0.012791159749031066,"[{'percentile': 90, 'value': 0.04090913906693459}]",102.99852197170257,50397.25,0.201589,1,025,090,average,0.11383327863841743,clay-center
9,201570,267399,468969,0.00044955875491723416,0.9041948020458221,0.9037452432909049,0.030858077057737705,0.030858077057737705,0.09086106083975035,0.008255732376924814,294.4482271845478,6220.062592528189,0.004461312596686184,0.007328673545271158,0.012808667588979005,"[{'percentile': 90, 'value': 0.04127386324107647}]",102.99852197170257,50397.25,0.201589,1,025,100,average,0.11383327863841743,clay-center
10,201570,267399,468969,0.00044955875491723416,0.917096471786499,0.9166469130315817,0.031098317532588175,0.031098317532588175,0.09181092016501458,0.00842924506154668,295.2279333722964,6268.487865043799,0.004462953936308622,0.0073312197113409635,0.012817730568349362,"[{'percentile': 90, 'value': 0.041445205360651015}]",102.99852197170257,50397.25,0.201589,1,025,110,average,0.11383327863841743,clay-center
11,201570,267399,468969,0.00044955875491723416,0.9240482985973358,0.9235987398424186,0.031227809053048207,0.031227809053048207,0.09232700391795423,0.008524275652465937,295.6563611655042,6294.589470822927,0.004463676828891039,0.007333557168021799,0.012824559584259987,"[{'percentile': 90, 'value': 0.04151717536151409}]",102.99852197170257,50397.25,0.201589,1,025,120,average,0.11383327863841743,clay-center
0,201570,267399,468969,0.00038666639011353254,0.46033473312854767,0.45994806673843414,0.012964978921785266,0.012964978921785266,0.029512312324513457,0.0008709765787396288,227.63100890911159,2613.350801264256,0.004186274483799934,0.006629416951909661,0.010670282877981663,"[{'percentile': 90, 'value': 0.02033131942152977}]",102.99852197170257,50397.25,0.201589,1,025,010,median,0.11383327863841743,clay-center
1,201570,267399,468969,0.00038666639011353254,0.5302470624446869,0.5298603960545734,0.017557005636687065,0.017557005636687065,0.04518809469971726,0.002041963902590615,257.37928001396983,3538.9656261870114,0.00432347203604877,0.006938502192497253,0.01141524501144886,"[{'percentile': 90, 'value': 0.02604297734797001}]",102.99852197170257,50397.25,0.201589,1,025,020,median,0.11383327863841743,clay-center
2,201570,267399,468969,0.00038666639011353254,0.5844029784202576,0.584016312030144,0.021007435843449256,0.021007435843449256,0.056743516571163895,0.0032198266728619518,270.11157855735263,4234.468842964066,0.004373824689537287,0.007106140488758683,0.011940787080675364,"[{'percentile': 90, 'value': 0.029711103066802025}]",102.99852197170257,50397.25,0.201589,1,025,030,median,0.11383327863841743,clay-center
3,201570,267399,468969,0.00038666639011353254,0.6373677849769592,0.6369811185868457,0.02365493225714856,0.02365493225714856,0.0654312222038224,0.004281244839085982,276.60710033971446,4768.124695073435,0.004418284399434924,0.007172975922003388,0.012290218379348516,"[{'percentile': 90, 'value': 0.03303157351911068}]",102.99852197170257,50397.25,0.201589,1,025,040,median,0.11383327863841743,clay-center
4,201570,267399,468969,0.00038666639011353254,0.6893874108791351,0.6890007444890216,0.025783656115010798,0.025783656115010798,0.07239408123521852,0.005240902997891419,280.77508058708537,5197.211563102726,0.004419547040015459,0.007238987134769559,0.012475648429244757,"[{'percentile': 90, 'value': 0.036116331815719604}]",102.99852197170257,50397.25,0.201589,1,025,050,median,0.11383327863841743,clay-center
5,201570,267399,468969,0.00038666639011353254,0.7436012625694275,0.743214596179314,0.02747050368292382,0.02747050368292382,0.07818142613365531,0.006112335392292201,284.6013565534088,5537.229427366954,0.004419547040015459,0.007271694717928767,0.01261249789968133,"[{'percentile': 90, 'value': 0.03811008669435978}]",102.99852197170257,50397.25,0.201589,1,025,060,median,0.11383327863841743,clay-center
6,201570,267399,468969,0.00038666639011353254,0.7996019124984741,0.7992152461083606,0.02878243422210953,0.02878243422210953,0.0829349623685391,0.006878207983070998,288.14436516572226,5801.675266150618,0.004462803015485406,0.007304209051653743,0.01270302152261138,"[{'percentile': 90, 'value': 0.039389556273818016}]",102.99852197170257,50397.25,0.201589,1,025,070,median,0.11383327863841743,clay-center
7,201570,267399,468969,0.00038666639011353254,0.8479319214820862,0.8475452550919726,0.02976357468708576,0.02976357468708576,0.08662290839671061,0.007503528259104917,291.03664229651747,5999.4437496758765,0.004464653320610523,0.00730459950864315,0.012748416513204575,"[{'percentile': 90, 'value': 0.04030792601406574}]",102.99852197170257,50397.25,0.201589,1,025,080,median,0.11383327863841743,clay-center
8,201570,267399,468969,0.00038666639011353254,0.8822935819625854,0.8819069155724719,0.03043731433072702,0.03043731433072702,0.08921715731658487,0.007959701159652255,293.1177052849191,6135.249449644645,0.004464653320610523,0.00730459950864315,0.012793438043445349,"[{'percentile': 90, 'value': 0.04092266224324703}]",102.99852197170257,50397.25,0.201589,1,025,090,median,0.11383327863841743,clay-center
9,201570,267399,468969,0.00038666639011353254,0.9043148458003998,0.9039281794102862,0.030857088219644835,0.030857088219644835,0.09086393784581753,0.008256255200848592,294.46698664188926,6219.8632724338095,0.004464653320610523,0.007336534094065428,0.012815869878977537,"[{'percentile': 90, 'value': 0.041263459250330925}]",102.99852197170257,50397.25,0.201589,1,025,100,median,0.11383327863841743,clay-center
10,201570,267399,468969,0.00038666639011353254,0.9172533750534058,0.9168667086632922,0.031097395903134345,0.031097395903134345,0.09181397431847452,0.008429805880153497,295.24650425542694,6268.30209219479,0.004464653320610523,0.007336534094065428,0.012815975118428469,"[{'percentile': 90, 'value': 0.04145963117480278}]",102.99852197170257,50397.25,0.201589,1,025,110,median,0.11383327863841743,clay-center
11,201570,267399,468969,0.00038666639011353254,0.9242865741252899,0.9238999077351764,0.031226811313083656,0.031226811313083656,0.0923294510730218,0.008524727535445527,295.6736445079709,6294.388356378273,0.004464653320610523,0.007336534094065428,0.012838249560445547,"[{'percentile': 90, 'value': 0.04156231880187988}]",102.99852197170257,50397.25,0.201589,1,025,120,median,0.11383327863841743,clay-center
0,201570,267399,468969,0.00038666639011353254,0.45933642983436584,0.4589497634442523,0.01189297205176885,0.01189297205176885,0.029307171927722184,0.0008589103264010671,246.42428990963037,2397.266376475047,0.003264203667640686,0.005636999383568764,0.009537273086607456,"[{'percentile': 90, 'value': 0.018996242433786392}]",102.99852197170257,50397.25,0.201589,1,025,010,minimum,0.11383327863841743,clay-center
1,201570,267399,468969,0.00038666639011353254,0.5289396643638611,0.5285529979737476,0.016462899215629496,0.016462899215629496,0.044981135663688214,0.002023302565595124,273.2273038577808,3318.4265948944376,0.0033748731948435307,0.005942519288510084,0.010232391767203808,"[{'percentile': 90, 'value': 0.024645010009407997}]",102.99852197170257,50397.25,0.201589,1,025,020,minimum,0.11383327863841743,clay-center
2,201570,267399,468969,0.00038666639011353254,0.5834195017814636,0.5830328353913501,0.019899580065723076,0.019899580065723076,0.05653494044241251,0.003196199490827129,284.1011732694483,4011.1583538478008,0.0034831741359084845,0.006091406103223562,0.010746339336037636,"[{'percentile': 90, 'value': 0.028198985382914543}]",102.99852197170257,50397.25,0.201589,1,025,030,minimum,0.11383327863841743,clay-center
3,201570,267399,468969,0.00038666639011353254,0.6359535455703735,0.63556687918026,0.02253881863570435,0.02253881863570435,0.06522218611650826,0.004253933561816444,289.37712828119595,4543.149672398926,0.0034831741359084845,0.006164945662021637,0.011096545495092869,"[{'percentile': 90, 'value': 0.03150079771876335}]",102.99852197170257,50397.25,0.201589,1,025,040,minimum,0.11383327863841743,clay-center
4,201570,267399,468969,0.00038666639011353254,0.6867964863777161,0.6864098199876025,0.02466121283362107,0.02466121283362107,0.07217721366814837,0.005209550172897544,292.6750365243509,4970.960670872999,0.0034831741359084845,0.006237905006855726,0.011342243291437626,"[{'percentile': 90, 'value': 0.03451653942465782}]",102.99852197170257,50397.25,0.201589,1,025,050,minimum,0.11383327863841743,clay-center
5,201570,267399,468969,0.00038666639011353254,0.7404494285583496,0.7400627621682361,0.026344033765483842,0.026344033765483842,0.07796093925890242,0.006077908050130273,295.933948281859,5310.166886108578,0.0034831741359084845,0.006237905006855726,0.011439532972872257,"[{'percentile': 90, 'value': 0.03656693920493126}]",102.99852197170257,50397.25,0.201589,1,025,060,minimum,0.11383327863841743,clay-center
6,201570,267399,468969,0.00038666639011353254,0.7971009016036987,0.7967142352135852,0.027653488105705015,0.027653488105705015,0.08270975444550561,0.006840903480435836,299.0933878914259,5574.11359746696,0.0034831741359084845,0.006237905006855726,0.01153627410531044,"[{'percentile': 90, 'value': 0.03776108846068382}]",102.99852197170257,50397.25,0.201589,1,025,070,minimum,0.11383327863841743,clay-center
7,201570,267399,468969,0.00038666639011353254,0.8450587391853333,0.8446720727952197,0.028632533427938867,0.028632533427938867,0.08639531768523138,0.007464150917932056,301.7382932693239,5771.459763069637,0.0034831741359084845,0.0063102999702095985,0.011584443040192127,"[{'percentile': 90, 'value': 0.03875880315899849}]",102.99852197170257,50397.25,0.201589,1,025,080,minimum,0.11383327863841743,clay-center
8,201570,267399,468969,0.00038666639011353254,0.8801475167274475,0.879760850337334,0.029305068337639947,0.029305068337639947,0.08898892257181289,0.00791902834049211,303.6639312576314,5907.022624818084,0.0034831741359084845,0.0063102999702095985,0.011584443040192127,"[{'percentile': 90, 'value': 0.039251282811164856}]",102.99852197170257,50397.25,0.201589,1,025,090,minimum,0.11383327863841743,clay-center
9,201570,267399,468969,0.00038666639011353254,0.9013674259185791,0.9009807595284656,0.02972389649145039,0.02972389649145039,0.09063307779941354,0.008214354791394549,304.916543581299,5991.445815781655,0.003589275060221553,0.0063102999702095985,0.01163247786462307,"[{'percentile': 90, 'value': 0.03957026079297066}]",102.99852197170257,50397.25,0.201589,1,025,100,minimum,0.11383327863841743,clay-center
10,201570,267399,468969,0.00038666639011353254,0.9143481850624084,0.9139615186722949,0.029963706534718297,0.029963706534718297,0.09158404479130614,0.00838763726033597,305.64991912862877,6039.784326203167,0.003589275060221553,0.0063102999702095985,0.01163247786462307,"[{'percentile': 90, 'value': 0.03980308771133423}]",102.99852197170257,50397.25,0.201589,1,025,110,minimum,0.11383327863841743,clay-center
11,201570,267399,468969,0.00038666639011353254,0.9215834736824036,0.92119680729229,0.030093371425977098,0.030093371425977098,0.09210234898335382,0.008482842688251497,306.055269380185,6065.920878334204,0.003589275060221553,0.0063102999702095985,0.01163247786462307,"[{'percentile': 90, 'value': 0.039887528866529465}]",102.99852197170257,50397.25,0.201589,1,025,120,minimum,0.11383327863841743,clay-center
0,201570,267399,468969,0.0007474965532310307,0.46100151538848877,0.46025401883525774,0.01404731011842149,0.01404731011842149,0.029720661593152863,0.0008833177255347117,211.57546421771886,2831.5163005702198,0.005073762498795986,0.0076587386429309845,0.011870699934661388,"[{'percentile': 90, 'value': 0.021737460047006607}]",102.99852197170257,50397.25,0.201589,1,025,010,maximum,0.11383327863841743,clay-center
1,201570,267399,468969,0.0007474965532310307,0.5311281085014343,0.5303806119482033,0.018661108632050612,0.018661108632050612,0.045396007604734626,0.002060797506449124,243.26533058580773,3761.519666962442,0.005238788668066263,0.007971415296196938,0.012612552382051945,"[{'percentile': 90, 'value': 0.027475060895085335}]",102.99852197170257,50397.25,0.201589,1,025,020,maximum,0.11383327863841743,clay-center
2,201570,267399,468969,0.0007474965532310307,0.5853748321533203,0.5846273356000893,0.02212334084020491,0.02212334084020491,0.056948596601871716,0.0032431426549227147,257.41409045409006,4459.401813160104,0.0053200130350887775,0.008155150339007378,0.01315035205334425,"[{'percentile': 90, 'value': 0.031178724020719528}]",102.99852197170257,50397.25,0.201589,1,025,030,maximum,0.11383327863841743,clay-center
3,201570,267399,468969,0.0007474965532310307,0.638809859752655,0.638062363199424,0.024780282135045094,0.024780282135045094,0.06564196948190701,0.00430886815746361,264.89597303282505,4994.961469961039,0.0053200130350887775,0.008276120759546757,0.013500869274139404,"[{'percentile': 90, 'value': 0.03460937738418579}]",102.99852197170257,50397.25,0.201589,1,025,040,maximum,0.11383327863841743,clay-center
4,201570,267399,468969,0.0007474965532310307,0.6901981234550476,0.6894506269018166,0.02691434643236917,0.02691434643236917,0.07260732739500171,0.005271823991444966,269.7718392584811,5425.124810372654,0.0053200130350887775,0.008276120759546757,0.013716891407966614,"[{'percentile': 90, 'value': 0.037673499435186386}]",102.99852197170257,50397.25,0.201589,1,025,050,maximum,0.11383327863841743,clay-center
